Entity,Entity Type,Count,Example Sentence,First Level,Second Level,Third Level,Mapped Entity,Similarity
4 millimeters thickness or less,descriptor,1,"there is a small volume subdural blood and gas underlying the craniotomy site , generally 4 millimeters thickness or less .",size,numeric,numeric,,
maximum coronal thickness is 2.4 cm,descriptor,1,maximum coronal thickness is 2 . 4 cm and there is effacement of the left-sided sulci and 9 mm left right midline shift .,size,numeric,numeric,,
previously 6 x 5 mm,descriptor,1,"brain : small focus of left frontal hemorrhage has increased in size slightly , now measuring 10 x 9 mm , previously 6 x 5 mm .",size,numeric,numeric,,
measuring at least 2.8 cm,descriptor,1,other : partially imaged lipoma within the right upper neck measuring at least 2 . 8 cm .,size,numeric,numeric,,
5.1 x 4.7 cm,descriptor,1,intraparenchymal hemorrhage is most likely centered at the left side of the brainstem including at 5 . 1 x 4 . 7 cm on image 8 / series 2 .,size,numeric,numeric,,
anterior-posterior dimension of approximately 6 cm,descriptor,1,there is a evolving left occipital infarct superior to the tentorium showing an anterior-posterior dimension of approximately 6 cm and a medial to lateral dimension of approximately 3 . 4 cm on image 12 .,size,numeric,numeric,,
18 mm thick,descriptor,1,"large right parietal subdural hematoma 18 mm thick extending into right temporal region , unchanged .",size,numeric,numeric,,
maximum thickness of 9 mm,descriptor,1,left maxillary sinus mucosal thickening with a maximum thickness of 9 mm .,size,numeric,numeric,,
5.5 x 4.5 cm,descriptor,1,left frontal hyperdense hematoma measures 5 . 5 x 4 . 5 cm .,size,numeric,numeric,,
previously measured 0.8 cm,descriptor,1,this area measures 0 . 6 cm and previously measured 0 . 8 cm .,size,numeric,numeric,,
measuring approximately 1 cm in diameter,descriptor,1,ventricular system is slightly prominent but not markedly changed with the third ventricle again measuring approximately 1 cm in diameter .,size,numeric,numeric,,
40 x 26 mm,descriptor,1,"however , underlying the cranial mesh repair there is acute intracranial hemorrhage , which appears to be a combination of a large , by convex , mixed density extra-axial hemorrhage measuring up to 3 . 4 cm in with , plus a superimposed left anterior frontal lobe intra-axial hemorrhage measuring up to 40 x 26 mm .",size,numeric,numeric,,
1.9 by 0.8 cm,descriptor,1,there is is a stable lipoma overlying the medial right frontal bone measuring 1 . 9 by 0 . 8 cm .,size,numeric,numeric,,
49 x 27 mm,descriptor,1,left basal ganglia hemorrhage unchanged measuring 49 x 27 mm .,size,numeric,numeric,,
maximum of 22 mm,descriptor,1,"brain : subdural hematoma around the right cerebral convexity has a similar size , measuring up to maximum of 22 mm in thickness in the right frontal region , but has overall decreasing high-density component , expected evolution .",size,numeric,numeric,,
6 mm previously,descriptor,1,"mild decreased septal pellucidum bulging from left to right at 4 mm , 6 mm previously .",size,numeric,numeric,,
maximal transverse dimension of 4 x 4 cm,descriptor,1,decrease in size of the right frontal lobe hematoma now with maximal transverse dimension of 4 x 4 cm versus prior 7 x 5 cm .,size,numeric,numeric,,
7 x 5 cm,descriptor,1,decrease in size of the right frontal lobe hematoma now with maximal transverse dimension of 4 x 4 cm versus prior 7 x 5 cm .,size,numeric,numeric,,
3.1 cm thick,descriptor,1,"at the site of swelling and palpable concern in the right occipital scalp , a csf attenuation fluid collection is identified , 4 . 5 cm transverse , 3 . 1 cm thick , and extending suboccipital for total craniocaudal length of nearly 8 cm , compatible with a pseudomeningocele .",size,numeric,numeric,,
4 mm x 8 mm,descriptor,1,previously noted cystic lesion within the left frontal lobe now measures 4 mm x 8 mm at axial image # 18 ( previously measuring 8 mm x 12 mm ) .,size,numeric,numeric,,
previously measuring 8 mm x 12 mm,descriptor,1,previously noted cystic lesion within the left frontal lobe now measures 4 mm x 8 mm at axial image # 18 ( previously measuring 8 mm x 12 mm ) .,size,numeric,numeric,,
8 mm x 12 mm,descriptor,1,previously noted cystic lesion within the left frontal lobe now measures 4 mm x 8 mm at axial image # 18 ( previously measuring 8 mm x 12 mm ) .,size,numeric,numeric,,
15 mm x 19 mm,descriptor,1,cystic metastasis within the right cerebellar hemisphere measures 15 mm x 19 mm at axial image # 7 ( previously measuring 19 mm x 21 mm ) .,size,numeric,numeric,,
previously measuring 19 mm x 21 mm,descriptor,1,cystic metastasis within the right cerebellar hemisphere measures 15 mm x 19 mm at axial image # 7 ( previously measuring 19 mm x 21 mm ) .,size,numeric,numeric,,
19 mm x 21 mm,descriptor,1,cystic metastasis within the right cerebellar hemisphere measures 15 mm x 19 mm at axial image # 7 ( previously measuring 19 mm x 21 mm ) .,size,numeric,numeric,,
20 mm thick,descriptor,1,subdural extends from frontal to occipital region across the right cerebral convexity and measures up to 20 mm thick posteriorly .,size,numeric,numeric,,
volume = 100 cm^3,descriptor,1,brain : large intraparenchymal hematoma centered in the right parietal lobe measures 7 . 6 x 5 . 7 x 4 . 6 cm ( volume = 100 cm^3 ) .,size,numeric,numeric,,
100 cm^3,descriptor,1,brain : large intraparenchymal hematoma centered in the right parietal lobe measures 7 . 6 x 5 . 7 x 4 . 6 cm ( volume = 100 cm^3 ) .,size,numeric,numeric,,
2.1 x 1.2 cm,descriptor,1,there is a partially calcified sebaceous cyst in the right parietal scalp region measuring 2 . 1 x 1 . 2 cm .,size,numeric,numeric,,
minimally decreased from 5 mm,descriptor,1,"this measures 4 mm thick , minimally decreased from 5 mm on previous study .",size,numeric,numeric,,
8 9 mm,descriptor,1,"brain : bilateral subdural low-density fluid collections are seen over the parietal lobes bilaterally , measuring 9 mm on the left and 8 9 mm on the right .",size,numeric,numeric,,
2.1 x 3.6 cm,descriptor,1,markedly motion degraded study despite repeat scanning . 2 . 1 x 3 . 6 cm acute intra-axial hematoma identified in the medial left frontal lobe with subarachnoid hemorrhage tracking up towards the convexity .,size,numeric,numeric,,
9.0 x 2.7 cm,descriptor,1,large left cerebral hemorrhage is not significantly changed in volume compared to prior measuring roughly 9 . 0 x 2 . 7 cm compared to the 8 . 2 x . 7 cm on prior .,size,numeric,numeric,,
8.2 x.7 cm,descriptor,1,large left cerebral hemorrhage is not significantly changed in volume compared to prior measuring roughly 9 . 0 x 2 . 7 cm compared to the 8 . 2 x . 7 cm on prior .,size,numeric,numeric,,
"medial-lateral , previously 10 mm",descriptor,1,"interval increase in lateral and third ventricle size , for example the third ventricle measures 17 mm medial-lateral , previously 10 mm .",size,numeric,numeric,,
measuring up to 9 mm in width,descriptor,1,"there is ventriculomegaly of the third and lateral ventricles , not significantly changed since the prior exam ( third ventricle measuring up to 9 mm in width ) .",size,numeric,numeric,,
2.0 x 3.1 cm,descriptor,1,small collection measuring 2 . 0 x 3 . 1 cm at the craniotomy site persists .,size,numeric,numeric,,
4.3 x 3.9 cm,descriptor,1,two large hematomas are located side-by-side with the larger one now measuring 4 . 3 x 3 . 9 cm and previously measuring 3 . 2 x 2 . 5 cm .,size,numeric,numeric,,
3.6 by 3 cm,descriptor,1,previously noted left periventricular hematoma had a maximal dimension of 0 . 9 cm and now measures 3 . 6 by 3 cm and is causing slight distortion of the left lateral ventricle .,size,numeric,numeric,,
3.8 x 2.8 cm,descriptor,1,the largest left hemispheric hematoma is located within the left frontal lobe previously having a maximal dimension of 1 cm and now measuring 3 . 8 x 2 . 8 cm and causing minimal distortion of the frontal horn of the left lateral ventricle .,size,numeric,numeric,,
1.1 x 0.4 cm,descriptor,1,there is a radiopaque foreign body in the soft tissues overlying the left frontal bone measuring 1 . 1 x 0 . 4 cm .,size,numeric,numeric,,
68 x 38 mm,descriptor,1,"the size of the hyperdense hemorrhage is stable to slightly larger , 68 x 38 mm ( previously up to 67 x 37 mm ) .",size,numeric,numeric,,
previously up to 67 x 37 mm,descriptor,1,"the size of the hyperdense hemorrhage is stable to slightly larger , 68 x 38 mm ( previously up to 67 x 37 mm ) .",size,numeric,numeric,,
67 x 37 mm,descriptor,1,"the size of the hyperdense hemorrhage is stable to slightly larger , 68 x 38 mm ( previously up to 67 x 37 mm ) .",size,numeric,numeric,,
23 x 54 mm,descriptor,1,"cross-sectional measurements on today's examination are essentially the same as yesterday , measuring 23 x 54 mm .",size,numeric,numeric,,
4 x 2.6 cm,descriptor,1,the hematoma measures 4 x 2 . 6 cm in maximal transaxial dimension .,size,numeric,numeric,,
1.4 x 2.8 cm,descriptor,1,"hemorrhage measures approximately 1 . 4 x 2 . 8 cm in aggregate ( series 2 / image 14 ) , previously 1 . 4 x 2 . 6 cm .",size,numeric,numeric,,
54 mm,descriptor,1,ventricular system bifrontal diameter measures 48 mm on today's exam as compared with 51 mm on 10 / 10 / 2011 and 54 mm preoperatively .,size,numeric,numeric,,
1.4 cm thick,descriptor,1,brain : a 1 . 4 cm thick right-sided subdural hematoma overlying the right parietal lobe with mixed attenuation suggesting a recent bleed is noted with approximately 3 mm of right to left midline shift .,size,numeric,numeric,,
5.0 x 3.5 cm,descriptor,1,"intraparenchymal hemorrhage in the left temporoparietal lobe , minimally increased from prior exam measuring approximately 5 . 0 x 3 . 5 cm , previously 5 . 0 x 2 . 7 cm .",size,numeric,numeric,,
5.0 x 2.7 cm,descriptor,1,"intraparenchymal hemorrhage in the left temporoparietal lobe , minimally increased from prior exam measuring approximately 5 . 0 x 3 . 5 cm , previously 5 . 0 x 2 . 7 cm .",size,numeric,numeric,,
2 and 3 mm,descriptor,1,slight to moderate age related cerebral atrophy ( primarily anterior temporal lobes along the sylvian fissures ) with moderate chronic-appearing microvascular subcortical ischemic changes seen with tiny 2 and 3 mm old appearing right basal ganglial lacunar infarcts .,size,numeric,numeric,,
6.7 x 3.5 cm,descriptor,1,it measures approximately 6 . 7 x 3 . 5 cm .,size,numeric,numeric,,
2.47 x 1.28 cm,descriptor,1,there is some extra-axial calcification seen near the left frontal vertex on image #25 measuring up to approximately 2 . 47 x 1 . 28 cm which may represent a partially calcified meningioma .,size,numeric,numeric,,
5.1 x 5.3 cm,descriptor,1,"interval enlargement of acute right thalamic hematoma , now measuring 5 . 1 x 5 . 3 cm ( previously 2 . 7 x 2 . 7 cm ) .",size,numeric,numeric,,
2.7 x 2.7 cm,descriptor,1,"interval enlargement of acute right thalamic hematoma , now measuring 5 . 1 x 5 . 3 cm ( previously 2 . 7 x 2 . 7 cm ) .",size,numeric,numeric,,
46 mm x 26 mm,descriptor,1,there is opacity in the right lower lobe adjacent to the pleural effusion measuring 46 mm x 26 mm in greatest transverse dimension .,size,numeric,numeric,,
18 mm x 11 mm,descriptor,1,"a smaller focal opacity is noted just superior and medial to this , also in the right lower lobe , measuring 18 mm x 11 mm in size .",size,numeric,numeric,,
maximally 8 mm,descriptor,1,mass effect with maximally 8 mm left-to-right midline shift .,size,numeric,numeric,,
05 mm,descriptor,1,cannot rule out a 05 mm right mca aneurysm .,size,numeric,numeric,,
approximately 10 - 11 mm,descriptor,1,the sdh measures approximately 10 - 11 mm in maximal thickness .,size,numeric,numeric,,
3.5 cm diameter,descriptor,1,there is a 3 . 5 cm diameter focus of edema with central hyperdensity consistent with a new metastatic mass in the right frontal lobe .,size,numeric,numeric,,
10 x 10 mm diameter,descriptor,1,"following contrast , an enhancing 10 x 10 mm diameter right cerebellar nodule is identified .",size,numeric,numeric,,
24mm,descriptor,1,progressive calcifications in 24mm white matter lesion in the right parietal lobe .,size,numeric,numeric,,
25 x 12 mm,descriptor,1,"cortical atrophy , greater than expected for age . 25 x 12 mm arachnoid cyst in the medial right middle cranial fossa .",size,numeric,numeric,,
2.2 x 3.4 cm,descriptor,1,"acute hemorrhage involving the pons and midbrain , maximum dimensions of the hematoma approximating 2 . 2 x 3 . 4 cm ( image 8 ) .",size,numeric,numeric,,
1.4 cm thickness,descriptor,1,there is a scalp subcutaneous hematoma left frontal region measures 5 . 2 cm length by 1 . 4 cm thickness .,size,numeric,numeric,,
cephalocaudal extension of 3.5 cm,descriptor,1,"maximal diameter is 4 . 8 cm ap , 2 . 1 cm right to left , and cephalocaudal extension of 3 . 5 cm .",size,numeric,numeric,,
8.0 x 1.2 cm,descriptor,1,there is a fluid collection identified which measures approximately 8 . 0 x 1 . 2 cm along the surgical bed likely representing a postoperative seroma .,size,numeric,numeric,,
19 x 22 mm,descriptor,1,postsurgical space is unchanged at 19 x 22 mm .,size,numeric,numeric,,
approximately 1 cm thickness,descriptor,1,"bilateral mixed density subdural hematomas , approximately 1 cm thickness on each side .",size,numeric,numeric,,
interval.4 mm,descriptor,1,"the amount of low-attenuation fluid along the high right frontal and parietal lobes may have increased slightly in the interval . 4 mm right to left midline shift , unchanged when remeasured on the prior exam .",size,numeric,numeric,,
slightly increased from 1 mm,descriptor,1,"there is approximate [date] mm of left-to-right shift , slightly increased from 1 mm previously .",size,numeric,numeric,,
2.6 cm long axis,descriptor,1,there is a subcutaneous partially calcified lesion in the right parietal scalp measuring 2 . 6 cm long axis .,size,numeric,numeric,,
previously 1.0 cm,descriptor,1,there is approximately 1 . 4 cm of right-to-left midline shift ( previously 1 . 0 cm ) .,size,numeric,numeric,,
approximately 6 cm,descriptor,1,this lesions spans approximately 6 cm .,size,numeric,numeric,,
18 ml,descriptor,1,the upper component measures approximately 18 ml .,size,numeric,numeric,,
4.9 x 3.6 cm,descriptor,1,"the largest lesion in the right frontal lobe measures 4 . 9 x 3 . 6 cm , unchanged in size with unchanged , moderate surrounding vasogenic edema .",size,numeric,numeric,,
4- 5 mm,descriptor,1,mild mass effect on the right convexity with slightly worse midline shift 4- 5 mm to the left .,size,numeric,numeric,,
right to left of 4.5 mm,descriptor,1,midline shift is now right to left of 4 . 5 mm .,size,numeric,numeric,,
4.5mm,descriptor,1,"midline shift is considerably improved now measuring 4 . 5mm at the foramen of wiebrand , compared with 10 mm .",size,numeric,numeric,,
12 mm previously,descriptor,1,the thickest area of residual right subdural blood is along the anterior fossa measuring 11 mm ( 12 mm previously ) .,size,numeric,numeric,,
approximately 3.5 mm,descriptor,1,"mild persistent right to left midline shift , approximately 3 . 5 mm .",size,numeric,numeric,,
3 x 5 cm cross-section,descriptor,1,"the infarct is of moderate size , estimated 3 x 5 cm cross-section .",size,numeric,numeric,,
